1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66
111900;Sexueller Übergriff, sexuelle Nötigung und Vergewaltigung mit Todesfolge § 178 StGB;insg.;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;1
112100;Sexueller Übergriff und sexuelle Nötigung § 177 Abs. 1, 2, 4, 5, 9 StGB;voll.;5,588;542;5,046;16;6;10;22;8;14;19;6;13;42;5;37;139;17;122;238;42;196;802;67;735;688;58;630;1,490;125;1,365;929;87;842;2,657;254;2,403;392;31;361;307;34;273;699;65;634;585;56;529;831;85;746;402;39;363;227;25;202;187;18;169;2,931;288;2,643
112100;Sexueller Übergriff und sexuelle Nötigung § 177 Abs. 1, 2, 4, 5, 9 StGB;vers.;838;71;767;0;0;0;3;1;2;2;0;2;10;2;8;19;2;17;34;5;29;99;8;91;91;15;76;190;23;167;119;9;110;343;37;306;61;5;56;49;3;46;110;8;102;94;4;90;131;15;116;92;5;87;44;1;43;24;1;23;495;34;461
112100;Sexueller Übergriff und sexuelle Nötigung § 177 Abs. 1, 2, 4, 5, 9 StGB;insg.;6,426;613;5,813;16;6;10;25;9;16;21;6;15;52;7;45;158;19;139;272;47;225;901;75;826;779;73;706;1,680;148;1,532;1,048;96;952;3,000;291;2,709;453;36;417;356;37;319;809;73;736;679;60;619;962;100;862;494;44;450;271;26;245;211;19;192;3,426;322;3,104
112110;Sexueller Übergriff § 177 Abs. 1, 2 (ohne Nr. 1), 9 StGB;voll.;2,678;269;2,409;7;3;4;13;4;9;4;2;2;10;2;8;43;6;37;77;17;60;406;28;378;365;37;328;771;65;706;424;40;384;1,272;122;1,150;188;18;170;159;19;140;347;37;310;271;26;245;403;49;354;196;18;178;109;11;98;80;6;74;1,406;147;1,259
112110;Sexueller Übergriff § 177 Abs. 1, 2 (ohne Nr. 1), 9 StGB;vers.;336;23;313;0;0;0;1;0;1;0;0;0;4;1;3;5;0;5;10;1;9;40;1;39;39;4;35;79;5;74;44;4;40;133;10;123;22;2;20;17;1;16;39;3;36;33;2;31;65;7;58;40;0;40;19;0;19;7;1;6;203;13;190
112110;Sexueller Übergriff § 177 Abs. 1, 2 (ohne Nr. 1), 9 StGB;insg.;3,014;292;2,722;7;3;4;14;4;10;4;2;2;14;3;11;48;6;42;87;18;69;446;29;417;404;41;363;850;70;780;468;44;424;1,405;132;1,273;210;20;190;176;20;156;386;40;346;304;28;276;468;56;412;236;18;218;128;11;117;87;7;80;1,609;160;1,449
112120;Sexuelle Nötigung § 177 Abs. 5, 9 StGB;voll.;2,329;189;2,140;6;2;4;9;4;5;15;4;11;31;2;29;86;7;79;147;19;128;339;33;306;264;14;250;603;47;556;405;34;371;1,155;100;1,055;166;11;155;112;13;99;278;24;254;248;16;232;344;21;323;162;15;147;84;7;77;58;6;52;1,174;89;1,085
112120;Sexuelle Nötigung § 177 Abs. 5, 9 StGB;vers.;477;46;431;0;0;0;2;1;1;2;0;2;6;1;5;14;2;12;24;4;20;58;6;52;50;10;40;108;16;92;71;5;66;203;25;178;38;3;35;29;2;27;67;5;62;58;2;56;65;8;57;46;5;41;25;1;24;13;0;13;274;21;253
112120;Sexuelle Nötigung § 177 Abs. 5, 9 StGB;insg.;2,806;235;2,571;6;2;4;11;5;6;17;4;13;37;3;34;100;9;91;171;23;148;397;39;358;314;24;290;711;63;648;476;39;437;1,358;125;1,233;204;14;190;141;15;126;345;29;316;306;18;288;409;29;380;208;20;188;109;8;101;71;6;65;1,448;110;1,338
112130;Sexueller Übergriff an widerstandsunfähigen Personen § 177 Abs. 2 Nr. 1, Abs. 4, 9 StGB;voll.;581;84;497;3;1;2;0;0;0;0;0;0;1;1;0;10;4;6;14;6;8;57;6;51;59;7;52;116;13;103;100;13;87;230;32;198;38;2;36;36;2;34;74;4;70;66;14;52;84;15;69;44;6;38;34;7;27;49;6;43;351;52;299
112130;Sexueller Übergriff an widerstandsunfähigen Personen § 177 Abs. 2 Nr. 1, Abs. 4, 9 StGB;vers.;25;2;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;1;1;3;2;1;4;0;4;7;2;5;1;0;1;3;0;3;4;0;4;3;0;3;1;0;1;6;0;6;0;0;0;4;0;4;18;0;18
112130;Sexueller Übergriff an widerstandsunfähigen Personen § 177 Abs. 2 Nr. 1, Abs. 4, 9 StGB;insg.;606;86;520;3;1;2;0;0;0;0;0;0;1;1;0;10;4;6;14;6;8;58;7;51;61;8;53;119;15;104;104;13;91;237;34;203;39;2;37;39;2;37;78;4;74;69;14;55;85;15;70;50;6;44;34;7;27;53;6;47;369;52;317
113000;Sexueller Missbrauch von Schutzbefohlenen pp., unter Ausnutzung einer Amtsstellung oder eines Vertrauensverhältnisses §§ 174, 174a-c StGB;voll.;675;143;532;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;277;45;232;220;61;159;497;106;391;25;6;19;522;112;410;12;1;11;10;1;9;22;2;20;21;3;18;35;11;24;24;3;21;14;3;11;37;9;28;153;31;122
113000;Sexueller Missbrauch von Schutzbefohlenen pp., unter Ausnutzung einer Amtsstellung oder eines Vertrauensverhältnisses §§ 174, 174a-c StGB;vers.;32;7;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;4;11;8;1;7;23;5;18;0;0;0;23;5;18;0;0;0;1;0;1;1;0;1;1;0;1;1;0;1;0;0;0;0;0;0;6;2;4;9;2;7
113000;Sexueller Missbrauch von Schutzbefohlenen pp., unter Ausnutzung einer Amtsstellung oder eines Vertrauensverhältnisses §§ 174, 174a-c StGB;insg.;707;150;557;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;292;49;243;228;62;166;520;111;409;25;6;19;545;117;428;12;1;11;11;1;10;23;2;21;22;3;19;36;11;25;24;3;21;14;3;11;43;11;32;162;33;129
113010;Sexueller Missbrauch von Schutzbefohlenen ab 14 Jahren § 174 StGB;voll.;480;104;376;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;271;44;227;209;60;149;480;104;376;0;0;0;480;104;376;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
113010;Sexueller Missbrauch von Schutzbefohlenen ab 14 Jahren § 174 StGB;vers.;20;4;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;3;11;6;1;5;20;4;16;0;0;0;20;4;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
113010;Sexueller Missbrauch von Schutzbefohlenen ab 14 Jahren § 174 StGB;insg.;500;108;392;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;285;47;238;215;61;154;500;108;392;0;0;0;500;108;392;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
113020;Sexueller Missbrauch von Gefangenen/Verwahrten usw. ab 14 Jahren § 174a StGB;voll.;45;11;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;2;4;0;4;4;1;3;8;1;7;1;1;0;2;0;2;3;1;2;2;0;2;11;4;7;6;2;4;2;2;0;13;1;12;37;10;27
113020;Sexueller Missbrauch von Gefangenen/Verwahrten usw. ab 14 Jahren § 174a StGB;vers.;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;4;0;4
113020;Sexueller Missbrauch von Gefangenen/Verwahrten usw. ab 14 Jahren § 174a StGB;insg.;49;11;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;2;4;0;4;4;1;3;8;1;7;1;1;0;2;0;2;3;1;2;2;0;2;11;4;7;6;2;4;2;2;0;17;1;16;41;10;31
113030;Sexueller Missbrauch - Ausnutzung einer Amtsstellung zum Nachteil von Personen ab 14 Jahren § 174b StGB;voll.;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0
113030;Sexueller Missbrauch - Ausnutzung einer Amtsstellung zum Nachteil von Personen ab 14 Jahren § 174b StGB;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
113030;Sexueller Missbrauch - Ausnutzung einer Amtsstellung zum Nachteil von Personen ab 14 Jahren § 174b StGB;insg.;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0
113040;Sexueller Missbrauch - Ausnutzung eines Beratungs-/Behandlungs-/Betreuungsverhältnisses zum Nachteil von Personen ab 14 Jahren § 174c StGB;voll.;148;27;121;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;3;8;1;7;12;2;10;21;5;16;33;7;26;11;0;11;8;1;7;19;1;18;19;3;16;23;6;17;18;1;17;12;1;11;24;8;16;115;20;95
113040;Sexueller Missbrauch - Ausnutzung eines Beratungs-/Behandlungs-/Betreuungsverhältnisses zum Nachteil von Personen ab 14 Jahren § 174c StGB;vers.;8;3;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;0;2;3;1;2;0;0;0;3;1;2;0;0;0;1;0;1;1;0;1;1;0;1;1;0;1;0;0;0;0;0;0;2;2;0;5;2;3
113040;Sexueller Missbrauch - Ausnutzung eines Beratungs-/Behandlungs-/Betreuungsverhältnisses zum Nachteil von Personen ab 14 Jahren § 174c StGB;insg.;156;30;126;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2;3;10;1;9;15;3;12;21;5;16;36;8;28;11;0;11;9;1;8;20;1;19;20;3;17;24;6;18;18;1;17;12;1;11;26;10;16;120;22;98
114000;Sexuelle Belästigung § 184i StGB;voll.;13,835;1,056;12,779;27;7;20;29;2;27;100;22;78;274;56;218;712;76;636;1,142;163;979;1,591;112;1,479;1,783;120;1,663;3,374;232;3,142;2,329;141;2,188;6,845;536;6,309;1,114;73;1,041;863;58;805;1,977;131;1,846;1,503;108;1,395;1,710;132;1,578;861;61;800;563;53;510;376;35;341;6,990;520;6,470
114000;Sexuelle Belästigung § 184i StGB;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
114000;Sexuelle Belästigung § 184i StGB;insg.;13,835;1,056;12,779;27;7;20;29;2;27;100;22;78;274;56;218;712;76;636;1,142;163;979;1,591;112;1,479;1,783;120;1,663;3,374;232;3,142;2,329;141;2,188;6,845;536;6,309;1,114;73;1,041;863;58;805;1,977;131;1,846;1,503;108;1,395;1,710;132;1,578;861;61;800;563;53;510;376;35;341;6,990;520;6,470
115000;Straftaten aus Gruppen § 184j StGB;voll.;16;1;15;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;2;1;1;4;0;4;1;0;1;5;0;5;2;0;2;9;1;8;0;0;0;3;0;3;3;0;3;1;0;1;3;0;3;0;0;0;0;0;0;0;0;0;7;0;7
115000;Straftaten aus Gruppen § 184j StGB;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
115000;Straftaten aus Gruppen § 184j StGB;insg.;16;1;15;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;2;1;1;4;0;4;1;0;1;5;0;5;2;0;2;9;1;8;0;0;0;3;0;3;3;0;3;1;0;1;3;0;3;0;0;0;0;0;0;0;0;0;7;0;7
130000;Sexueller Missbrauch §§ 176, 176a, 176b, 182, 183, 183a StGB;voll.;27,766;6,330;21,436;2,212;783;1,429;1,474;468;1,006;1,936;578;1,358;3,501;934;2,567;7,600;1,505;6,095;16,723;4,268;12,455;1,152;238;914;995;177;818;2,147;415;1,732;946;130;816;19,816;4,813;15,003;652;90;562;651;98;553;1,303;188;1,115;1,373;231;1,142;1,988;438;1,550;1,267;293;974;1,125;218;907;894;149;745;7,950;1,517;6,433
130000;Sexueller Missbrauch §§ 176, 176a, 176b, 182, 183, 183a StGB;vers.;1,021;292;729;58;26;32;61;14;47;96;27;69;190;51;139;370;87;283;775;205;570;152;50;102;94;37;57;246;87;159;0;0;0;1,021;292;729;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
130000;Sexueller Missbrauch §§ 176, 176a, 176b, 182, 183, 183a StGB;insg.;28,787;6,622;22,165;2,270;809;1,461;1,535;482;1,053;2,032;605;1,427;3,691;985;2,706;7,970;1,592;6,378;17,498;4,473;13,025;1,304;288;1,016;1,089;214;875;2,393;502;1,891;946;130;816;20,837;5,105;15,732;652;90;562;651;98;553;1,303;188;1,115;1,373;231;1,142;1,988;438;1,550;1,267;293;974;1,125;218;907;894;149;745;7,950;1,517;6,433
131000;Sexueller Missbrauch von Kindern §§ 176, 176a, 176b StGB;voll.;16,723;4,268;12,455;2,212;783;1,429;1,474;468;1,006;1,936;578;1,358;3,501;934;2,567;7,600;1,505;6,095;16,723;4,268;12,455;0;0;0;0;0;0;0;0;0;0;0;0;16,723;4,268;12,455;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131000;Sexueller Missbrauch von Kindern §§ 176, 176a, 176b StGB;vers.;775;205;570;58;26;32;61;14;47;96;27;69;190;51;139;370;87;283;775;205;570;0;0;0;0;0;0;0;0;0;0;0;0;775;205;570;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131000;Sexueller Missbrauch von Kindern §§ 176, 176a, 176b StGB;insg.;17,498;4,473;13,025;2,270;809;1,461;1,535;482;1,053;2,032;605;1,427;3,691;985;2,706;7,970;1,592;6,378;17,498;4,473;13,025;0;0;0;0;0;0;0;0;0;0;0;0;17,498;4,473;13,025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131010;Sexuelle Handlungen § 176 Abs. 5 StGB;voll.;199;59;140;28;13;15;20;6;14;23;7;16;44;13;31;84;20;64;199;59;140;0;0;0;0;0;0;0;0;0;0;0;0;199;59;140;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131010;Sexuelle Handlungen § 176 Abs. 5 StGB;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131010;Sexuelle Handlungen § 176 Abs. 5 StGB;insg.;199;59;140;28;13;15;20;6;14;23;7;16;44;13;31;84;20;64;199;59;140;0;0;0;0;0;0;0;0;0;0;0;0;199;59;140;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131100;Sexuelle Handlungen § 176 Abs. 1 und 2 StGB;voll.;5,681;1,385;4,296;1,070;353;717;671;200;471;734;219;515;982;253;729;2,224;360;1,864;5,681;1,385;4,296;0;0;0;0;0;0;0;0;0;0;0;0;5,681;1,385;4,296;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131100;Sexuelle Handlungen § 176 Abs. 1 und 2 StGB;vers.;428;127;301;30;10;20;38;9;29;64;19;45;119;35;84;177;54;123;428;127;301;0;0;0;0;0;0;0;0;0;0;0;0;428;127;301;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131100;Sexuelle Handlungen § 176 Abs. 1 und 2 StGB;insg.;6,109;1,512;4,597;1,100;363;737;709;209;500;798;238;560;1,101;288;813;2,401;414;1,987;6,109;1,512;4,597;0;0;0;0;0;0;0;0;0;0;0;0;6,109;1,512;4,597;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131200;Exhibitionistische/sexuelle Handlungen vor Kindern § 176 Abs. 4 Nr. 1 StGB;voll.;1,962;601;1,361;224;94;130;213;78;135;366;94;272;533;144;389;626;191;435;1,962;601;1,361;0;0;0;0;0;0;0;0;0;0;0;0;1,962;601;1,361;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131200;Exhibitionistische/sexuelle Handlungen vor Kindern § 176 Abs. 4 Nr. 1 StGB;vers.;59;14;45;10;5;5;6;1;5;6;2;4;17;2;15;20;4;16;59;14;45;0;0;0;0;0;0;0;0;0;0;0;0;59;14;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131200;Exhibitionistische/sexuelle Handlungen vor Kindern § 176 Abs. 4 Nr. 1 StGB;insg.;2,021;615;1,406;234;99;135;219;79;140;372;96;276;550;146;404;646;195;451;2,021;615;1,406;0;0;0;0;0;0;0;0;0;0;0;0;2,021;615;1,406;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131300;Sexuelle Handlungen § 176 Abs. 4 Nr. 2 StGB;voll.;610;170;440;79;32;47;56;21;35;73;19;54;112;35;77;290;63;227;610;170;440;0;0;0;0;0;0;0;0;0;0;0;0;610;170;440;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131300;Sexuelle Handlungen § 176 Abs. 4 Nr. 2 StGB;vers.;101;24;77;7;5;2;5;1;4;8;1;7;26;7;19;55;10;45;101;24;77;0;0;0;0;0;0;0;0;0;0;0;0;101;24;77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131300;Sexuelle Handlungen § 176 Abs. 4 Nr. 2 StGB;insg.;711;194;517;86;37;49;61;22;39;81;20;61;138;42;96;345;73;272;711;194;517;0;0;0;0;0;0;0;0;0;0;0;0;711;194;517;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131400;Einwirken auf Kinder § 176 Abs. 4 Nr. 3 und 4 StGB;voll.;4,904;1,163;3,741;101;52;49;112;43;69;348;111;237;1,276;309;967;3,067;648;2,419;4,904;1,163;3,741;0;0;0;0;0;0;0;0;0;0;0;0;4,904;1,163;3,741;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131400;Einwirken auf Kinder § 176 Abs. 4 Nr. 3 und 4 StGB;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131400;Einwirken auf Kinder § 176 Abs. 4 Nr. 3 und 4 StGB;insg.;4,904;1,163;3,741;101;52;49;112;43;69;348;111;237;1,276;309;967;3,067;648;2,419;4,904;1,163;3,741;0;0;0;0;0;0;0;0;0;0;0;0;4,904;1,163;3,741;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131500;Vollzug des Beischlafs mit einem Kind oder Vornahme einer ähnlichen sexuellen Handlung § 176a Abs. 2 Nr. 1 StGB;voll.;1,219;224;995;202;59;143;146;37;109;145;34;111;186;40;146;540;54;486;1,219;224;995;0;0;0;0;0;0;0;0;0;0;0;0;1,219;224;995;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131500;Vollzug des Beischlafs mit einem Kind oder Vornahme einer ähnlichen sexuellen Handlung § 176a Abs. 2 Nr. 1 StGB;vers.;31;6;25;4;2;2;2;0;2;6;0;6;4;2;2;15;2;13;31;6;25;0;0;0;0;0;0;0;0;0;0;0;0;31;6;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131500;Vollzug des Beischlafs mit einem Kind oder Vornahme einer ähnlichen sexuellen Handlung § 176a Abs. 2 Nr. 1 StGB;insg.;1,250;230;1,020;206;61;145;148;37;111;151;34;117;190;42;148;555;56;499;1,250;230;1,020;0;0;0;0;0;0;0;0;0;0;0;0;1,250;230;1,020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131600;Schwerer sexueller Missbrauch von Kindern zur Herstellung und Verbreitung pornografischer Schriften § 176a Abs. 3 StGB;voll.;236;122;114;61;45;16;21;11;10;22;12;10;47;27;20;85;27;58;236;122;114;0;0;0;0;0;0;0;0;0;0;0;0;236;122;114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131600;Schwerer sexueller Missbrauch von Kindern zur Herstellung und Verbreitung pornografischer Schriften § 176a Abs. 3 StGB;vers.;17;6;11;1;1;0;0;0;0;0;0;0;1;0;1;15;5;10;17;6;11;0;0;0;0;0;0;0;0;0;0;0;0;17;6;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131600;Schwerer sexueller Missbrauch von Kindern zur Herstellung und Verbreitung pornografischer Schriften § 176a Abs. 3 StGB;insg.;253;128;125;62;46;16;21;11;10;22;12;10;48;27;21;100;32;68;253;128;125;0;0;0;0;0;0;0;0;0;0;0;0;253;128;125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131700;Sonstiger schwerer sexueller Missbrauch von Kindern § 176a StGB;voll.;1,912;544;1,368;447;135;312;235;72;163;225;82;143;321;113;208;684;142;542;1,912;544;1,368;0;0;0;0;0;0;0;0;0;0;0;0;1,912;544;1,368;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131700;Sonstiger schwerer sexueller Missbrauch von Kindern § 176a StGB;vers.;138;28;110;6;3;3;10;3;7;12;5;7;22;5;17;88;12;76;138;28;110;0;0;0;0;0;0;0;0;0;0;0;0;138;28;110;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131700;Sonstiger schwerer sexueller Missbrauch von Kindern § 176a StGB;insg.;2,050;572;1,478;453;138;315;245;75;170;237;87;150;343;118;225;772;154;618;2,050;572;1,478;0;0;0;0;0;0;0;0;0;0;0;0;2,050;572;1,478;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131800;Sexueller Missbrauch von Kindern mit Todesfolge § 176b StGB;voll.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131800;Sexueller Missbrauch von Kindern mit Todesfolge § 176b StGB;vers.;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131800;Sexueller Missbrauch von Kindern mit Todesfolge § 176b StGB;insg.;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
132000;Exhibitionistische Handlungen und Erregung öffentlichen Ärgernisses §§ 183, 183a StGB;voll.;10,063;1,806;8,257;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;498;72;426;669;87;582;1,167;159;1,008;946;130;816;2,113;289;1,824;652;90;562;651;98;553;1,303;188;1,115;1,373;231;1,142;1,988;438;1,550;1,267;293;974;1,125;218;907;894;149;745;7,950;1,517;6,433
132000;Exhibitionistische Handlungen und Erregung öffentlichen Ärgernisses §§ 183, 183a StGB;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
132000;Exhibitionistische Handlungen und Erregung öffentlichen Ärgernisses §§ 183, 183a StGB;insg.;10,063;1,806;8,257;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;498;72;426;669;87;582;1,167;159;1,008;946;130;816;2,113;289;1,824;652;90;562;651;98;553;1,303;188;1,115;1,373;231;1,142;1,988;438;1,550;1,267;293;974;1,125;218;907;894;149;745;7,950;1,517;6,433
132010;Exhibitionistische Handlungen § 183 StGB;voll.;8,426;1,277;7,149;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;423;58;365;568;68;500;991;126;865;799;89;710;1,790;215;1,575;547;62;485;565;68;497;1,112;130;982;1,137;159;978;1,643;329;1,314;1,025;205;820;945;141;804;774;98;676;6,636;1,062;5,574
132010;Exhibitionistische Handlungen § 183 StGB;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
132010;Exhibitionistische Handlungen § 183 StGB;insg.;8,426;1,277;7,149;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;423;58;365;568;68;500;991;126;865;799;89;710;1,790;215;1,575;547;62;485;565;68;497;1,112;130;982;1,137;159;978;1,643;329;1,314;1,025;205;820;945;141;804;774;98;676;6,636;1,062;5,574
132020;Erregung öffentlichen Ärgernisses § 183a StGB;voll.;1,637;529;1,108;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75;14;61;101;19;82;176;33;143;147;41;106;323;74;249;105;28;77;86;30;56;191;58;133;236;72;164;345;109;236;242;88;154;180;77;103;120;51;69;1,314;455;859
132020;Erregung öffentlichen Ärgernisses § 183a StGB;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
