1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66
11000;Mord im Zusammenhang mit Raubdelikten;voll.;20;9;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;2;2;0;1;0;1;1;0;1;3;2;1;12;5;7;20;9;11
11000;Mord im Zusammenhang mit Raubdelikten;vers.;16;12;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;3;3;0;4;3;1;0;0;0;5;4;1;3;1;2;15;11;4
11000;Mord im Zusammenhang mit Raubdelikten;insg.;36;21;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;1;1;0;1;0;1;0;0;0;1;0;1;5;5;0;5;3;2;1;0;1;8;6;2;15;6;9;35;20;15
12000;Mord im Zusammenhang mit Sexualdelikten;voll.;9;1;8;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;1;0;1;1;0;1;1;0;1;4;1;3;0;0;0;1;0;1;1;0;1;0;0;0;2;0;2;0;0;0;0;0;0;2;0;2;5;0;5
12000;Mord im Zusammenhang mit Sexualdelikten;vers.;2;0;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
12000;Mord im Zusammenhang mit Sexualdelikten;insg.;11;1;10;1;1;0;2;0;2;0;0;0;0;0;0;0;0;0;3;1;2;0;0;0;1;0;1;1;0;1;1;0;1;5;1;4;1;0;1;1;0;1;2;0;2;0;0;0;2;0;2;0;0;0;0;0;0;2;0;2;6;0;6
20000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;voll.;364;195;169;45;21;24;3;1;2;1;0;1;0;0;0;1;0;1;50;22;28;2;1;1;3;3;0;5;4;1;7;6;1;62;32;30;5;4;1;4;3;1;9;7;2;21;15;6;46;33;13;51;31;20;44;24;20;131;53;78;302;163;139
20000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;vers.;1,347;1,037;310;36;19;17;1;0;1;3;1;2;3;2;1;9;4;5;52;26;26;20;17;3;38;32;6;58;49;9;106;100;6;216;175;41;96;78;18;82;71;11;178;149;29;188;157;31;297;234;63;216;163;53;124;88;36;128;71;57;1,131;862;269
20000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;insg.;1,711;1,232;479;81;40;41;4;1;3;4;1;3;3;2;1;10;4;6;102;48;54;22;18;4;41;35;6;63;53;10;113;106;7;278;207;71;101;82;19;86;74;12;187;156;31;209;172;37;343;267;76;267;194;73;168;112;56;259;124;135;1,433;1,025;408
20010;Totschlag § 212 StGB;voll.;348;192;156;45;21;24;3;1;2;1;0;1;0;0;0;1;0;1;50;22;28;2;1;1;3;3;0;5;4;1;7;6;1;62;32;30;5;4;1;4;3;1;9;7;2;21;15;6;46;33;13;51;31;20;44;24;20;115;50;65;286;160;126
