------;Straftaten insgesamt;3159;Göttingen;LK;voll.;4,232;2,414;1,818;3,313;1,943;1,370;315;183;132;130;77;53;76;46;30;47;30;17;28;20;8;34;10;24
------;Straftaten insgesamt;3241;Region Hannover;LK;voll.;17,713;10,549;7,164;13,991;8,469;5,522;1,044;599;445;442;295;147;226;120;106;149;83;66;111;56;55;116;45;71
------;Straftaten insgesamt;3251;Diepholz;LK;voll.;2,091;1,094;997;1,530;778;752;191;96;95;86;40;46;31;15;16;26;16;10;20;13;7;28;12;16
------;Straftaten insgesamt;3252;Hameln-Pyrmont;LK;voll.;1,782;1,012;770;1,340;766;574;136;73;63;56;32;24;30;18;12;18;14;4;9;2;7;23;7;16
------;Straftaten insgesamt;3254;Hildesheim;LK;voll.;3,147;1,685;1,462;2,382;1,320;1,062;242;143;99;82;55;27;55;34;21;38;20;18;27;13;14;40;21;19
------;Straftaten insgesamt;3255;Holzminden;LK;voll.;858;465;393;631;345;286;79;45;34;30;19;11;19;14;5;18;7;11;3;2;1;9;3;6
------;Straftaten insgesamt;3256;Nienburg (Weser);LK;voll.;1,192;648;544;879;489;390;99;54;45;46;24;22;17;12;5;16;8;8;11;8;3;9;2;7
------;Straftaten insgesamt;3257;Schaumburg;LK;voll.;1,500;805;695;1,160;625;535;126;82;44;45;28;17;23;17;6;22;15;7;21;14;7;15;8;7
------;Straftaten insgesamt;3351;Celle;LK;voll.;2,468;1,373;1,095;1,808;1,031;777;153;91;62;62;44;18;32;22;10;30;12;18;10;4;6;19;9;10
------;Straftaten insgesamt;3352;Cuxhaven;LK;voll.;1,934;1,048;886;1,484;799;685;191;110;81;69;40;29;57;38;19;23;13;10;24;10;14;18;9;9
------;Straftaten insgesamt;3353;Harburg;LK;voll.;3,290;2,311;979;2,776;2,041;735;433;349;84;217;187;30;134;116;18;29;17;12;22;11;11;31;18;13
------;Straftaten insgesamt;3354;Lüchow-Dannenberg;LK;voll.;610;322;288;475;257;218;60;35;25;21;12;9;13;6;7;6;4;2;6;5;1;14;8;6
------;Straftaten insgesamt;3355;Lüneburg;LK;voll.;2,432;1,374;1,058;1,813;1,047;766;191;114;77;77;42;35;48;32;16;27;20;7;14;8;6;25;12;13
------;Straftaten insgesamt;3356;Osterholz;LK;voll.;820;461;359;630;367;263;86;58;28;31;17;14;14;11;3;16;13;3;11;8;3;14;9;5
------;Straftaten insgesamt;3357;Rotenburg (Wümme);LK;voll.;1,837;1,031;806;1,329;731;598;143;80;63;54;29;25;38;22;16;24;14;10;10;8;2;17;7;10
------;Straftaten insgesamt;3358;Heidekreis;LK;voll.;1,964;1,108;856;1,493;862;631;164;90;74;58;39;19;35;20;15;32;13;19;18;11;7;21;7;14
------;Straftaten insgesamt;3359;Stade;LK;voll.;1,985;1,129;856;1,396;781;615;123;77;46;57;36;21;25;15;10;20;13;7;10;6;4;11;7;4
------;Straftaten insgesamt;3360;Uelzen;LK;voll.;1,068;571;497;820;446;374;83;44;39;42;28;14;23;12;11;6;3;3;2;0;2;10;1;9
------;Straftaten insgesamt;3361;Verden;LK;voll.;1,175;619;556;920;478;442;91;51;40;23;15;8;24;13;11;20;16;4;5;2;3;19;5;14
------;Straftaten insgesamt;3401;Delmenhorst;KfS;voll.;897;526;371;691;412;279;39;23;16;19;13;6;8;5;3;5;2;3;4;2;2;3;1;2
------;Straftaten insgesamt;3402;Emden;KfS;voll.;598;317;281;450;247;203;39;19;20;15;10;5;6;3;3;8;4;4;2;0;2;8;2;6
------;Straftaten insgesamt;3403;Oldenburg (Oldenburg);KfS;voll.;2,041;1,171;870;1,574;937;637;89;55;34;44;29;15;19;12;7;7;5;2;7;7;0;12;2;10
------;Straftaten insgesamt;3404;Osnabrück;KfS;voll.;2,693;1,552;1,141;2,105;1,278;827;152;83;69;69;38;31;26;15;11;16;11;5;16;7;9;25;12;13
------;Straftaten insgesamt;3405;Wilhelmshaven;KfS;voll.;1,579;872;707;1,126;630;496;89;54;35;38;27;11;19;10;9;11;7;4;8;6;2;13;4;9
------;Straftaten insgesamt;3451;Ammerland;LK;voll.;882;501;381;628;356;272;77;44;33;28;14;14;20;12;8;14;9;5;8;4;4;7;5;2
------;Straftaten insgesamt;3452;Aurich;LK;voll.;1,909;1,013;896;1,435;765;670;152;80;72;64;29;35;36;19;17;17;10;7;14;8;6;21;14;7
------;Straftaten insgesamt;3453;Cloppenburg;LK;voll.;1,382;799;583;979;557;422;74;43;31;37;16;21;16;14;2;10;7;3;6;3;3;5;3;2
------;Straftaten insgesamt;3454;Emsland;LK;voll.;3,300;1,924;1,376;2,540;1,504;1,036;214;128;86;82;51;31;64;40;24;32;17;15;18;16;2;18;4;14
------;Straftaten insgesamt;3455;Friesland;LK;voll.;803;457;346;547;304;243;52;30;22;18;16;2;14;7;7;6;4;2;7;2;5;7;1;6
------;Straftaten insgesamt;3456;Grafschaft Bentheim;LK;voll.;1,220;685;535;866;491;375;66;34;32;23;14;9;22;10;12;9;3;6;5;4;1;7;3;4
------;Straftaten insgesamt;3457;Leer;LK;voll.;1,858;1,022;836;1,335;765;570;135;79;56;67;41;26;28;15;13;18;11;7;12;8;4;10;4;6
------;Straftaten insgesamt;3458;Oldenburg;LK;voll.;920;491;429;707;355;352;109;40;69;66;16;50;10;6;4;12;8;4;10;6;4;11;4;7
------;Straftaten insgesamt;3459;Osnabrück;LK;voll.;2,721;1,510;1,211;2,064;1,143;921;227;136;91;99;64;35;50;25;25;27;20;7;21;15;6;30;12;18
------;Straftaten insgesamt;3460;Vechta;LK;voll.;1,138;679;459;859;513;346;61;37;24;34;21;13;10;7;3;5;1;4;6;4;2;6;4;2
------;Straftaten insgesamt;3461;Wesermarsch;LK;voll.;919;497;422;643;361;282;71;41;30;23;15;8;13;8;5;12;9;3;7;3;4;16;6;10
------;Straftaten insgesamt;3462;Wittmund;LK;voll.;607;315;292;400;213;187;44;22;22;19;10;9;7;3;4;8;6;2;7;2;5;3;1;2
------;Straftaten insgesamt;4011;Bremen;KfS;voll.;10,988;6,482;4,506;8,699;5,202;3,497;647;346;301;264;147;117;147;90;57;88;48;40;63;33;30;85;28;57
------;Straftaten insgesamt;4012;Bremerhaven;KfS;voll.;2,352;1,340;1,012;1,811;1,070;741;133;76;57;49;35;14;28;10;18;22;13;9;12;5;7;22;13;9
------;Straftaten insgesamt;5111;Düsseldorf;KfS;voll.;9,236;5,592;3,644;7,327;4,529;2,798;577;317;260;212;129;83;138;89;49;75;40;35;67;26;41;85;33;52
------;Straftaten insgesamt;5112;Duisburg;KfS;voll.;7,451;3,962;3,489;5,720;3,086;2,634;482;278;204;189;114;75;124;75;49;57;37;20;45;26;19;67;26;41
------;Straftaten insgesamt;5113;Essen;KfS;voll.;8,112;4,519;3,593;6,248;3,562;2,686;497;283;214;186;119;67;123;68;55;74;44;30;46;16;30;68;36;32
------;Straftaten insgesamt;5114;Krefeld;KfS;voll.;3,421;1,898;1,523;2,643;1,478;1,165;252;146;106;98;64;34;58;37;21;36;21;15;23;11;12;37;13;24
------;Straftaten insgesamt;5116;Mönchengladbach;KfS;voll.;3,954;2,169;1,785;3,167;1,757;1,410;287;181;106;142;101;41;63;39;24;35;19;16;19;7;12;28;15;13
------;Straftaten insgesamt;5117;Mülheim an der Ruhr;KfS;voll.;1,847;954;893;1,476;775;701;170;91;79;50;29;21;38;26;12;33;18;15;27;12;15;22;6;16
------;Straftaten insgesamt;5119;Oberhausen;KfS;voll.;2,755;1,556;1,199;2,122;1,223;899;188;124;64;70;50;20;53;36;17;25;16;9;10;6;4;30;16;14
------;Straftaten insgesamt;5120;Remscheid;KfS;voll.;1,489;789;700;1,145;620;525;129;77;52;58;36;22;41;28;13;8;4;4;8;5;3;14;4;10
------;Straftaten insgesamt;5122;Solingen;KfS;voll.;1,994;1,057;937;1,508;789;719;185;109;76;77;57;20;44;21;23;19;11;8;16;7;9;29;13;16
------;Straftaten insgesamt;5124;Wuppertal;KfS;voll.;5,775;3,144;2,631;4,501;2,476;2,025;385;227;158;173;106;67;80;56;24;44;25;19;46;28;18;42;12;30
------;Straftaten insgesamt;5154;Kleve;K;voll.;3,174;1,689;1,485;2,480;1,386;1,094;236;142;94;103;68;35;59;38;21;33;13;20;14;8;6;27;15;12
------;Straftaten insgesamt;5158;Mettmann;K;voll.;5,706;3,097;2,609;4,561;2,497;2,064;470;259;211;206;121;85;102;66;36;65;31;34;40;19;21;57;22;35
------;Straftaten insgesamt;5162;Rhein-Kreis Neuss;K;voll.;4,265;2,321;1,944;3,248;1,763;1,485;317;176;141;123;75;48;68;40;28;43;25;18;35;18;17;48;18;30
------;Straftaten insgesamt;5166;Viersen;K;voll.;3,234;1,793;1,441;2,478;1,399;1,079;271;181;90;123;89;34;63;47;16;40;22;18;18;12;6;27;11;16
------;Straftaten insgesamt;5170;Wesel;K;voll.;4,467;2,412;2,055;3,216;1,737;1,479;361;196;165;158;87;71;80;48;32;46;24;22;30;14;16;47;23;24
------;Straftaten insgesamt;5314;Bonn;KfS;voll.;5,107;2,998;2,109;4,078;2,418;1,660;350;206;144;140;88;52;91;52;39;53;28;25;32;17;15;34;21;13
